emp_to_pop, cert, female_par, ogc_fid, median11, male_less_, male_part_, y12, uni, part_rate, ssc_name, ssc2011
0.769665,0.344198,0.737489,1,42926.78788,0.162785,0.900274,0.472838,0.182964,0.816838,"Abbotsbury",10001
0.699541,0.298405,0.697248,14,29848.0,0.133598,0.830846,0.624146,0.077449,0.759524,"Adelong",10014
0.766944,0.393365,0.777644,1296,48833.87571,0.109198,0.886842,0.39218,0.214455,0.830295,"Kurrajong",11296
0.494137,0.254041,0.499072,1390,27154.89655,0.226691,0.725763,0.587399,0.15856,0.612041,"Liverpool",11390
0.747481,0.273407,0.75686,2,60498.33557,0.119063,0.875923,0.338427,0.388166,0.812179,"Abbotsford (NSW)",10002
0.335589,0.197817,0.626168,21,32138.47619,-0.388814,0.237354,0.751705,0.050477,0.347527,"Aldavilla",10021
0.578199,0.372642,0.640777,4477,25666.91892,0.075013,0.715789,0.424528,0.20283,0.678392,"Cambroon",30301
0.0,0.222222,0.0,5636,36868.0,0.0,0.0,0.761905,0.015873,0.0,"Scottville",31460
0.8125,0.419608,0.778626,3,54114.66667,0.158083,0.936709,0.32549,0.254902,0.854839,"Abercrombie",10003
0.625203,0.36,0.619863,4,32020.04969,0.151323,0.771186,0.582041,0.057959,0.696095,"Aberdare",10004
0.715713,0.315742,0.655577,5,40199.85185,0.210607,0.866184,0.621474,0.062784,0.765316,"Aberdeen (NSW)",10005
0.0,0.294118,0.0,6,32448.0,0.0,0.0,0.477941,0.227941,0.0,"Aberfoyle",10006
0.768531,0.427273,0.71555,7,47392.96124,0.213845,0.929395,0.435065,0.137662,0.817204,"Aberglasslyn",10007
0.0,0.206897,0.0,478,22914.66667,0.0,0.0,0.735632,0.057471,0.0,"Carroll",10478
0.639423,0.383267,0.623529,8,30024.54321,0.160077,0.783607,0.561753,0.05498,0.705638,"Abermain",10008
0.0,0.37963,0.0,9,29662.28571,0.0,0.0,0.592593,0.027778,0.0,"Abernethy",10009
0.820952,0.317166,0.808349,10,53292.0678,0.124179,0.932528,0.366619,0.316215,0.8681,"Acacia Gardens",10010
0.0,0.333333,0.0,11,22638.90909,0.0,0.0,0.640351,0.026316,0.0,"Adaminaby",10011
0.0,0.384615,0.0,482,33548.0,0.0,0.0,0.516484,0.098901,0.0,"Cartwrights Hill",10482
0.750594,0.338129,0.822281,483,65662.28571,0.03449,0.856771,0.372902,0.288969,0.838838,"Carwoola",10483
0.688525,0.331126,0.737489,7530,39690.85714,0.162785,0.900274,0.576159,0.092715,0.0,"Picton East",50644
0.753774,0.356177,0.765495,12,43848.0,0.094249,0.859744,0.380069,0.263754,0.811209,"Adamstown",10012
0.779661,0.345888,0.759601,13,49570.22222,0.111263,0.870864,0.310915,0.343198,0.813533,"Adamstown Heights",10013
0.725203,0.205212,0.677939,486,68163.05376,0.20011,0.878049,0.248371,0.546417,0.774436,"Castle Cove",10486
0.871795,0.341772,0.882883,487,43281.33333,0.048741,0.931624,0.320675,0.337553,0.911894,"Castle Doyle",10487
0.770841,0.288019,0.744576,488,55757.0,0.161267,0.905843,0.309944,0.402038,0.821756,"Castle Hill (NSW)",10488
0.0,0.348066,0.0,489,40805.14286,0.0,0.0,0.535912,0.116022,0.0,"Castle Rock",10489
0.725974,0.177807,0.685714,490,80515.90123,0.197054,0.882768,0.229072,0.593121,0.779501,"Castlecrag",10490
0.797386,0.192547,0.737489,7532,28637.65517,0.162785,0.900274,0.652174,0.15528,0.0,"Piesseville",50646
0.863309,0.2,0.737489,7533,29493.45455,0.162785,0.900274,0.674074,0.125926,0.0,"Pingaring",50647
0.733333,0.34689,0.73822,15,42226.26087,0.139829,0.878049,0.547847,0.105263,0.812183,"Agnes Banks",10015
0.288875,0.165085,0.347439,16,18582.87544,0.141178,0.488616,0.815939,0.018975,0.402721,"Airds",10016
0.0,0.315789,0.0,17,13078.0,0.0,0.0,0.631579,0.052632,0.0,"Akolele",10017
0.596615,0.314528,0.5727,49,28769.2766,0.15635,0.72905,0.622003,0.06347,0.653791,"Argenton",10049
0.750595,0.423346,0.712982,18,40505.30918,0.1715,0.884482,0.455316,0.121338,0.796049,"Albion Park",10018
0.664901,0.397772,0.641657,19,33919.98444,0.174257,0.815914,0.530641,0.071588,0.725727,"Albion Park Rail",10019
0.739496,0.289373,0.777778,20,45754.94444,0.079127,0.856905,0.365061,0.345566,0.816003,"Albury",10020
