tpp_australian_labor_party_percentage, total_formal_votes, tpp_australian_labor_party_votes, state, division_name, polling_place_type_id, tpp_swing, tpp_liberal_national_coalition_percentage, tpp_liberal_national_coalition_votes, longitude, latitude, polling_place_id, division_id, polling_place_name
59.21,706,418,"ACT","Bean","5",0.93,40.79,288,149.069655,-35.2389303,"93925","318","Belconnen BEAN PPVC"
84.62,13,11,"ACT","Bean","5",-34.62,15.38,2,149.1268694,-35.2773337,"93927","318","BLV Bean PPVC"
62.11,1330,826,"ACT","Bean","1",0.62,37.89,504,149.083,-35.4318,"11877","318","Bonython"
57.9,1886,1092,"ACT","Bean","1",1.99,42.1,794,149.1176,-35.44067,"11452","318","Calwell"
63.6,2209,1405,"ACT","Bean","1",-4.49,36.4,804,149.042,-35.3564,"8761","318","Chapman"
56.35,1432,807,"ACT","Bean","1",4.05,43.65,625,149.1225386,-35.4195217,"8763","318","Chisholm"
71.74,92,66,"ACT","Bean","1",-6.05,28.26,26,149.1290814,-35.2767018,"93916","318","City (Bean)"
63.15,2410,1522,"ACT","Bean","5",-7.4,36.85,888,149.1308614,-35.2805169,"93922","318","City BEAN PPVC"
55.2,2056,1135,"ACT","Bean","1",6.12,44.8,921,149.098,-35.4649,"31298","318","Conder"
53.95,936,505,"ACT","Bean","1",6.98,46.05,431,149.0947893,-35.4597283,"83835","318","Conder North"
64.32,2099,1350,"ACT","Bean","1",-3.64,35.68,749,149.0428484,-35.3226028,"82523","318","Coombs"
62.61,230,144,"ACT","Bean","1",1.11,37.39,86,149.0803543,-35.3314386,"93906","318","Curtin (Bean)"
55.41,74,41,"ACT","Bean","5",44.59,44.59,33,149.1268694,-35.2773337,"93932","318","Divisional Office (PREPOLL)"
71.24,1714,1221,"ACT","Bean","1",-6.14,28.76,493,149.032,-35.3347,"8767","318","Duffy"
54.82,1680,921,"ACT","Bean","1",-2.69,45.18,759,149.118,-35.4044,"8768","318","Fadden"
58.83,2174,1279,"ACT","Bean","1",-3.6,41.17,895,149.107,-35.379,"8769","318","Farrer"
59.49,469,279,"ACT","Bean","1",-2.87,40.51,190,149.1029475,-35.3446687,"93913","318","Garran (Bean)"
55.48,1552,861,"ACT","Bean","1",2.18,44.52,691,149.133,-35.4147,"8771","318","Gilmore"
57.3,2501,1433,"ACT","Bean","1",2.99,42.7,1068,149.087,-35.4555,"12072","318","Gordon"
48.31,532,257,"ACT","Bean","1",12.59,51.69,275,149.0901681,-35.4397627,"83837","318","Gordon North"
56.92,1502,855,"ACT","Bean","1",2.22,43.08,647,149.111,-35.4136,"8772","318","Gowrie"
56.77,1293,734,"ACT","Bean","1",6.09,43.23,559,149.0682594,-35.4137385,"97445","318","Greenway"
48.4,343,166,"ACT","Bean","5",7.29,51.6,177,149.1451731,-35.2193236,"93929","318","Gungahlin BEAN PPVC"
59.59,1653,985,"ACT","Bean","1",-1.47,40.41,668,149.05,-35.3348,"8773","318","Holder"
56.81,213,121,"ACT","Bean","1",3.0,43.19,92,149.0910366,-35.332175,"93908","318","Hughes (Bean)"
41.98,1944,816,"NSW","Banks","1",-2.33,58.02,1128,151.081,-33.9847,"58","103","Oatley"
57.79,1732,1001,"ACT","Bean","1",5.34,42.21,731,149.089,-35.4287,"8884","318","Isabella Plains"
61.84,1423,880,"ACT","Bean","1",1.09,38.16,543,149.065,-35.3784,"8776","318","Kambah North"
65.3,1847,1206,"ACT","Bean","1",0.25,34.7,641,149.067537,-35.3924756,"8777","318","Kambah South"
60.17,2212,1331,"ACT","Bean","1",0.95,39.83,881,149.053,-35.3806,"8778","318","Kambah West"
66.03,365,241,"ACT","Bean","1",-2.79,33.97,124,149.076,-35.342,"93909","318","Lyons (Bean)"
61.14,1804,1103,"ACT","Bean","1",0.22,38.86,701,149.097,-35.3585,"8780","318","Mawson"
56.24,1842,1036,"ACT","Bean","1",1.97,43.76,806,149.089,-35.4151,"8781","318","Monash"
76.01,542,412,"ACT","Bean","1",-11.23,23.99,130,149.1299644,-35.3019611,"93928","318","Parkes (Bean)"
63.08,948,598,"ACT","Bean","5",36.92,36.92,350,149.1299644,-35.3019611,"97479","318","Parkes BEAN PPVC"
61.76,2113,1305,"ACT","Bean","1",-1.77,38.24,808,149.089,-35.3637,"8784","318","Pearce"
56.1,1205,676,"ACT","Bean","1",7.72,43.9,529,149.114,-35.4287,"8786","318","Richardson"
50.89,112,57,"ACT","Bean","1",-3.16,49.11,55,149.068,-35.5088,"8788","318","Tharwa"
55.85,1436,802,"ACT","Bean","1",5.73,44.15,634,149.124,-35.4477,"11878","318","Theodore"
51.54,16922,8722,"ACT","Bean","5",4.18,48.46,8200,149.0678568,-35.4153694,"32704","318","Tuggeranong BEAN PPVC"
58.28,1577,919,"ACT","Bean","1",3.09,41.72,658,149.086,-35.3947,"8790","318","Wanniassa"
63.08,1709,1078,"ACT","Bean","1",-1.37,36.92,631,149.096,-35.392,"8791","318","Wanniassa Hills"
66.68,1873,1249,"ACT","Bean","1",-4.89,33.32,624,149.06,-35.355,"8792","318","Waramanga"
65.67,600,394,"ACT","Bean","1",-4.39,34.33,206,149.0538306,-35.3548805,"83841","318","Waramanga West"
62.34,1301,811,"ACT","Bean","1",0.95,37.66,490,149.054,-35.3412,"8793","318","Weston"
55.5,10393,5768,"ACT","Bean","5",-0.63,44.5,4625,149.0863288,-35.3442899,"32705","318","Woden BEAN PPVC"
82.69,1912,1581,"ACT","Canberra","1",-5.86,17.31,331,149.147,-35.2543,"8801","101","Ainslie North"
77.78,1827,1421,"ACT","Canberra","1",-6.0,22.22,406,149.08,-35.256,"8803","101","Aranda (Canberra)"
67.48,2045,1380,"ACT","Canberra","1",-11.88,32.52,665,149.135,-35.3151,"8829","101","Barton"
67.67,467,316,"ACT","Canberra","1",0.65,32.33,151,149.074,-35.2391,"93968","101","Belconnen (Canberra)"
61.1,6331,3868,"ACT","Canberra","5",0.57,38.9,2463,149.070109,-35.2389038,"64583","101","Belconnen CANBERRA PPVC"
55.0,20,11,"ACT","Canberra","5",11.67,45.0,9,149.1263791,-35.2790544,"65504","101","BLV Canberra PPVC"
78.59,2265,1780,"ACT","Canberra","1",-7.92,21.41,485,149.14001,-35.27363,"8802","101","Braddon"
67.68,1117,756,"ACT","Canberra","1",0.52,32.32,361,149.0884075,-35.2442802,"83849","101","Bruce (Canberra)"
57.78,2158,1247,"ACT","Canberra","1",-4.21,42.22,911,149.156,-35.2903,"8806","101","Campbell"
